no,contentsId,category,title,description,manuscript,jp,en,ch,kr,industryCd,industryName,sceneCd,sceneName
1,00001,template,開店◯分前,従業員向け、開店◯分前（飲食業）,皆さん、おはようございます。只今、開店${minutes}分前です。お客様をお迎えするために、各自準備をすすめてください。服装は清潔にしていますか？店内の清掃は⾏き届いていますか？テーブルなどのセッティングは整っていますか？接客時は丁寧な⾔葉遣いを⼼がけましょう。今日も⼀日、お客様に気持ちよくお食事していただけるよう⼀人ひとりが最善をつくしましょう。只今、開店${minutes}分前です。,"皆さん、おはようございます。只今、開店${minutes}分前です。お客様をお迎えするために、各自準備をすすめてください。
服装は清潔にしていますか？店内の清掃は行き届いていますか？テーブルなどのセッティングは整っていますか？接客時は丁寧な言葉遣いを心がけましょう。
今日も一日、お客様に気持ちよくお食事をしていただけるよう、一人ひとりが最善を尽くしましょう。只今、開店${minutes}分前です。",,,,10-99,飲食店向け-全業種のシーン一覧,004-004,開店-開店
2,00002,template,まもなく閉店,まもなく閉店（飲食業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店は、まもなく閉店時間でございます。お客様のまたのご来店を⼼よりお待ち申し上げております。本日は誠にありがとうございました。,本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店はまもなく、閉店時間でございます。お客様のまたのご来店を、心よりお待ち申し上げております。本日は誠にありがとうございました。,Thank you for visiting us today. The following is an announcement for our customers. We are nearing closing time. We look forward to seeing you again soon. Thank you for visiting us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店的营业时间即将结束。我们衷心恭候您的下次光临。再次感谢您今天光临本店。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 곧 저희 매장의 영업 종료 시간입니다. 다시 찾아 주시기를 진심으로 기원합니다. 이용해 주셔서 대단히 감사합니다.,10-99,飲食店向け-全業種のシーン一覧,005-005,閉店-閉店
3,00003,template,アルバイト募集,アルバイト募集案内（飲食業）,お客様にご案内申し上げます。${customerName}では、アルバイトを募集いたしております。明るく楽しい仲間たちと、⼀緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,お客様にご案内申し上げます。${customerName}では、アルバイトを募集いたしております。明るく楽しい仲間たちと、⼀緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,,,,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
4,00004,template,スタッフ募集,スタッフ募集案内（飲食業）,お客様にご案内申し上げます。${customerName}では、スタッフを募集いたしております。明るく楽しい仲間たちと、⼀緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,お客様にご案内申し上げます。${customerName}では、スタッフを募集いたしております。明るく楽しい仲間たちと、⼀緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,,,,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
5,00005,template,チャイルドチェアご利用案内,チャイルドチェアご利用案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、小さいお子様連れのお客様のために、チャイルドチェアーをご用意させていただいております。ご遠慮なくお申し付けくださいませ。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ,本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、小さいお子様連れの・お客様のために、チャイルドチェアーをご用意させていただいております。ご遠慮なくお申し付けくださいませ。 本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしください。,Thank you for visiting us today. The following is an announcement for our customers. We have high chairs available for customers with small children. Please feel free to ask our staff for one. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店为带幼儿前来的顾客准备了儿童椅。如有需要，敬请告知。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에는 유아를 동반한 고객님을 위해 유아용 의자가 구비되어 있습니다. 부담 없이 말씀해 주시기 바랍니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
6,00006,template,飲食物デリバリーサービス案内,飲食物デリバリーサービス案内,本日は、${customerName}にご来店いただきまして誠にありがとうございます。お客様にご案内申し上げます。当店では、ご自宅やオフィスなどへデリバリーサービスを承っております。お気軽にご用命下さい。なお、メニューや配達エリアなどにつきましてはお近くのスタッフまでお問い合わせ下さい。本日のご来店、誠にありがとうございます。,"本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、ご自宅やオフィスなどへデリバリーサービスを承っております。お気軽にご用命下さい。
なお、メニューや配達エリアなどにつきましてはお近くのスタッフまでお問い合わせ下さい。本日のご来店、誠にありがとうございます。","Thank you for visiting us today. The following is an announcement for our customers. Our restaurant offers delivery services straight to your door at your home or office. Please feel free to contact us for delivery.For information on our delivery menu and the areas we deliver to, please see the nearby staff. Thank you for visiting us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。本店为您提供送餐服务，可将餐品送至您的家中或办公室等处。敬请利用。另外，有关菜单及送餐范围等，请咨询您附近的工作人员。再次衷心感谢您今天的光临。,"오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에서는 자택 또는 사무실 등으로 배달 서비스를 제공해 드리고 있습니다. 언제든지 이용해 주시기 바랍니다. 또한, 메뉴 및 배달 지역에 대해서는 가까운 스태프에게 문의해 주시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다.",10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
7,00007,template,ランチタイムメニュー,ランチタイムメニュー案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、ランチタイムのサービスメニューをご用意しております。お客様に大好評のメニューを厳選し、お昼だけの特別価格でご提供させていただきます。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしください。,本日は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、ランチタイムのサービスメニューをご用意しております。お客様に大好評のメニューを厳選し、お昼だけの特別価格でご提供させていただきます。 本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしください。,Thank you for visiting us today. The following is an announcement for our customers. We have a lunch time value menu available that is a careful selection of our most popular dishes offered at a special price only for lunch. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店为各位顾客准备了午餐特惠菜单。我们将以仅限午餐时间的优惠价格，为您提供从广受顾客好评的菜单中精选出的菜品。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에서는 런치타임 서비스 메뉴를 제공해 드리고 있습니다. 고객님들로부터 호평을 받고 있는 메뉴를 엄선하여 점심 시간 한정 특별 가격으로 제공해 드립니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
8,00008,template,テイクアウトメニュー,テイクアウトメニュー案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、テイクアウト用のメニューをご用意しております。ご自宅で、会社で、アウトドアで、当店自慢の味を、そのままご堪能いただけます。ぜひお試しください。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、テイクアウト用のメニューをご用意しております。 ご自宅で、会社で、アウトドアで、当店自慢の味を、そのままご堪能いただけます。ぜひおためしください。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,"Thank you for visiting us today. The following is an announcement for our customers. We have a takeout menu available so that you can enjoy our delicious offerings, whether you are taking food home, or to a company function or outdoor activities. Please feel free to order takeout from us. We thank you for visiting us today. We hope you enjoy your time here with us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。本店为各位顾客准备了外卖菜单。您可以在家中、公司或户外享用本店的美味菜肴。敬请品尝。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,"오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에서는 테이크아웃용 메뉴를 제공해 드리고 있습니다. 자택에서, 회사에서, 야외에서 저희 매장이 자랑하는 맛을 그대로 느끼실 수 있습니다. 꼭 한번 이용해 보시기 바랍니다. 오늘도 이용해 주셔서 대단히 감사합니다. 편안한 시간 보내시기 바랍니다.",10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
9,00009,template,点字メニュ－,点字メニュ－案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では目の不自由なお客様のために、点字メニューをご用意させていただいております。必要な方は、どうぞご遠慮なく、スタッフまでお申し付けください。本日は、ご来店ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では目の不自由なお客様のために、点字メニューを、ご用意させていただいております。必要な方は、どうぞご遠慮なくスタッフまでお申し付けください。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,Thank you for visiting us today. The following is an announcement for our customers. Our restaurant has a menu in braille available for customers with visual impairments. Please feel free to let the staff know if you would like to use it. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店为有视觉障碍的顾客准备了盲文菜单。如有需要，敬请告知工作人员。感谢各位顾客今天的光临。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에는 눈이 불편하신 고객님을 위한 점자 메뉴가 준비되어 있습니다. 필요하신 분께서는 언제든지 스태프에게 말씀해 주시기 바랍니다. 오늘도 방문해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
10,00010,template,宴会予約,宴会予約案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、各種ご宴会、パーティー等のご予約を承っております。ご予算やご利用人数など、幹事様のご要望にあわせて対応させていただきます。どうぞお気軽に、スタッフまでご相談ください。本日は、ご来店ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、各種ご宴会、パーティーなどのご予約を承っております。ご予算やご利用人数など、幹事様のご要望にあわせて対応させていただきます。どうぞお気軽に、スタッフまでご相談ください。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,"Thank you for visiting us today. The following is an announcement for our customers. Here, we are taking reservations for all kinds of events, such as receptions and parties. We will help you plan your event based on your budget, party size, and other conditions presented by the organizer. Please feel free to speak to our staff regarding a reservation. We thank you for visiting us today. We hope you enjoy your time here with us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。本店接受各种宴会、聚会等的预约。我们将根据预算及参加人数等组织者的要求，为您提供服务。欢迎向工作人员咨询。感谢各位顾客今天的光临。祝您度过一段轻松愉快的时光。,"오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에서는 각종 연회 및 파티 등의 예약을 받고 있습니다. 예산, 이용 인원 수 등, 고객 여러분의 요청에 맞춰 드리오니 언제든지 스태프에게 문의해 주시기 바랍니다. 오늘도 방문해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.",10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
